Rk_stats_standard,Player,Nation_stats_standard,Pos_stats_standard,Squad_stats_standard,Age_stats_standard,Born_stats_standard,MP_stats_standard,Starts_stats_standard,Min_stats_standard,90s_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,PK_stats_standard,PKatt_stats_standard,CrdY_stats_standard,CrdR_stats_standard,xG_stats_standard,npxG_stats_standard,xAG_stats_standard,npxG+xAG_stats_standard,PrgC_stats_standard,PrgP_stats_standard,PrgR_stats_standard,Gls_stats_standard,Ast_stats_standard,G+A_stats_standard,G-PK_stats_standard,G+A-PK_stats_standard,xG_stats_standard,xAG_stats_standard,xG+xAG_stats_standard,npxG_stats_standard,npxG+xAG_stats_standard,Matches_stats_standard,FirstName
107,Levi Colwill,eng ENG,DF,Chelsea,22-071,2003,32,32,2879.0,32.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,125,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches,Levi
347,Lewis Miley,eng ENG,MF,Newcastle Utd,19-007,2006,12,1,249.0,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,14,7,0.36,0.00,0.36,0.36,0.36,0.20,0.01,0.21,0.20,0.21,Matches,Lewis
224,Lewis Hall,eng ENG,DF,Newcastle Utd,20-242,2004,27,24,2189.0,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches,Lewis
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-094,1997,34,30,2816.0,31.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,153,49,0.03,0.10,0.13,0.03,0.13,0.03,0.13,0.16,0.03,0.16,Matches,Lewis
152,Lewis Dunk,eng ENG,DF,Brighton,33-168,1991,25,23,2083.0,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches,Lewis
127,Liam Delap,eng ENG,FW,Ipswich Town,22-089,2003,34,31,2491.0,27.7,12,2,14,10,2,2,10,0,9.3,7.7,1.9,9.6,60,30,105,0.43,0.07,0.51,0.36,0.43,0.34,0.07,0.40,0.28,0.35,Matches,Liam
329,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-110,1998,20,20,1751.0,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches,Lisandro
277,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-214,1998,10,4,303.0,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches,Lloyd
135,Lucas Digne,fr FRA,DF,Aston Villa,31-292,1993,31,27,2261.0,25.1,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,55,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.20,0.03,0.20,Matches,Lucas
404,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-254,1997,31,27,2336.0,26.0,4,0,4,2,2,2,9,0,5.2,3.6,3.1,6.7,22,145,82,0.15,0.00,0.15,0.08,0.08,0.20,0.12,0.32,0.14,0.26,Matches,Lucas
