Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Nicolás Domínguez,ar ARG,Nott'ham Forest,26-316,31,20,1734.0,0,0.0,0,0.0,1,0.05,1,0.05,9,0,1.4,13,27,38.9,0.36,0.00,19.0,725,409,247,28,725,409,247,28,725,409,247,28,725,409,247,28,87.0,91.5,90.1,58.3,87.0,91.5,90.1,58.3,87.0,91.5,90.1,58.3,87.0,91.5,90.1,58.3,10492,32,1.66,0,0.0,76,30,76,30,40,66,36,34,11,23,27,1071,72,274,555,252,26,8,37.5,37.5,400,1601,2,11,18,10,585,31,16,1,5,102,21,20,51.2,
Nikola Milenković,rs SRB,Nott'ham Forest,27-210,34,34,3060.0,4,0.12,4,0.12,2,0.06,2,0.06,4,0,3.6,3,6,26.9,0.21,0.15,12.1,748,223,418,93,748,223,418,93,748,223,418,93,748,223,418,93,81.2,86.8,87.6,60.8,81.2,86.8,87.6,60.8,81.2,86.8,87.6,60.8,81.2,86.8,87.6,60.8,15092,18,0.53,3,0.09,43,21,43,21,26,27,6,40,24,16,25,1268,242,700,490,82,59,1,100.0,0.0,486,2080,2,3,2,2,638,18,4,1,0,75,96,37,72.2,
Noni Madueke,eng ENG,Chelsea,23-061,29,24,1813.0,7,0.35,7,0.35,3,0.15,3,0.15,3,0,9.1,142,212,39.0,1.49,0.09,14.4,474,288,147,22,474,288,147,22,474,288,147,22,474,288,147,22,77.6,86.0,76.6,56.4,77.6,86.0,76.6,56.4,77.6,86.0,76.6,56.4,77.6,86.0,76.6,56.4,6993,76,3.77,8,0.4,22,13,22,13,15,34,21,17,0,17,8,878,20,90,255,548,172,90,44.4,44.4,587,4920,87,46,43,24,676,20,24,5,58,72,10,16,38.5,
Noussair Mazraoui,ma MAR,Manchester Utd,27-177,34,31,2639.0,0,0.0,0,0.0,1,0.03,1,0.03,2,0,0.7,37,51,23.1,0.1,0.00,20.6,1409,781,523,63,1409,781,523,63,1409,781,523,63,1409,781,523,63,85.5,91.3,89.1,54.3,85.5,91.3,89.1,54.3,85.5,91.3,89.1,54.3,85.5,91.3,89.1,54.3,21053,50,1.71,1,0.03,102,51,102,51,60,85,34,33,8,25,34,1976,158,779,903,318,27,47,55.3,36.2,1086,5061,3,29,23,16,1190,37,22,3,20,141,47,28,62.7,
Nélson Semedo,pt POR,Wolves,31-175,31,30,2661.0,0,0.0,0,0.0,4,0.14,4,0.14,7,0,0.8,61,109,37.5,0.2,0.00,23.4,973,525,367,54,973,525,367,54,973,525,367,54,973,525,367,54,80.1,91.1,82.8,46.6,80.1,91.1,82.8,46.6,80.1,91.1,82.8,46.6,80.1,91.1,82.8,46.6,14811,52,1.76,6,0.2,58,30,58,30,34,53,23,28,10,18,23,1551,116,446,707,416,24,64,45.3,42.2,790,4544,9,36,40,19,882,44,28,4,58,121,27,41,39.7,
Ola Aina,ng NGA,Nott'ham Forest,28-214,32,32,2733.0,2,0.07,2,0.07,1,0.03,1,0.03,3,0,0.6,59,56,20.0,0.07,0.20,25.9,893,472,333,55,893,472,333,55,893,472,333,55,893,472,333,55,73.3,88.4,73.7,36.4,73.3,88.4,73.7,36.4,73.3,88.4,73.7,36.4,73.3,88.4,73.7,36.4,13813,58,1.91,3,0.1,54,35,54,35,41,63,28,32,12,20,31,1550,148,568,647,364,21,68,45.6,36.8,675,4331,10,40,40,22,737,21,34,2,47,173,13,18,41.9,
Oliver Skipp,eng ENG,Leicester City,24-236,21,8,996.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0,0.2,16,19,25.0,0.09,0.00,21.0,392,201,153,19,392,201,153,19,392,201,153,19,392,201,153,19,85.0,88.5,93.3,59.4,85.0,88.5,93.3,59.4,85.0,88.5,93.3,59.4,85.0,88.5,93.3,59.4,5965,14,1.27,0,0.0,20,9,20,9,4,15,6,17,4,13,10,557,24,121,350,90,7,11,54.5,45.5,321,1311,3,7,11,5,390,19,13,0,5,40,10,6,62.5,
Ollie Watkins,eng ENG,Aston Villa,29-131,35,28,2333.0,15,0.58,15,0.58,7,0.27,7,0.27,2,0,14.7,52,148,42.3,1.27,0.17,12.2,284,180,75,9,284,180,75,9,284,180,75,9,284,180,75,9,74.2,79.3,81.5,75.0,74.2,79.3,81.5,75.0,74.2,79.3,81.5,75.0,74.2,79.3,81.5,75.0,3580,51,1.97,11,0.42,9,3,9,3,6,11,8,11,3,8,8,636,18,48,229,368,155,38,23.7,65.8,375,2071,36,21,53,46,502,27,30,13,7,39,47,62,43.1,
Omar Marmoush,eg EGY,Manchester City,26-092,13,12,998.0,6,0.54,6,0.54,0,0.0,0,0.0,0,0,4.8,21,68,42.1,1.44,0.16,18.0,203,133,55,7,203,133,55,7,203,133,55,7,203,133,55,7,78.1,83.6,79.7,50.0,78.1,83.6,79.7,50.0,78.1,83.6,79.7,50.0,78.1,83.6,79.7,50.0,2782,33,2.98,1,0.09,11,7,11,7,6,15,8,15,1,14,5,416,3,29,121,271,56,39,41.0,46.2,262,1606,11,15,37,15,295,13,17,9,25,32,5,8,38.5,
Omari Hutchinson,eng ENG,Ipswich Town,21-192,28,27,2313.0,3,0.12,3,0.12,2,0.08,2,0.08,5,0,2.4,74,135,43.2,0.62,0.08,21.0,604,305,255,31,604,305,255,31,604,305,255,31,604,305,255,31,78.4,88.4,84.4,53.4,78.4,88.4,84.4,53.4,78.4,88.4,84.4,53.4,78.4,88.4,84.4,53.4,9504,68,2.65,6,0.23,31,13,31,13,12,45,32,25,1,24,10,1100,14,178,464,480,76,117,39.3,47.9,671,5091,31,35,72,56,772,29,36,4,60,96,6,24,20.0,
