Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Yankuba Minteh,gm GAM,Brighton,20-292,29,17,1587.0,6,0.34,6,0.34,4,0.23,4,0.23,6,0,4.0,71,163,50.0,0.85,0.20,13.5,297,170,91,29,297,170,91,29,297,170,91,29,297,170,91,29,62.3,78.3,61.9,47.5,62.3,78.3,61.9,47.5,62.3,78.3,61.9,47.5,62.3,78.3,61.9,47.5,4794,54,3.07,11,0.62,45,17,45,17,32,45,28,20,0,20,11,723,30,129,204,408,121,84,47.6,44.0,410,2972,56,19,44,21,423,20,10,4,76,75,16,32,33.3,
Yasin Ayari,se SWE,Brighton,21-216,31,19,1759.0,1,0.05,1,0.05,1,0.05,1,0.05,3,0,2.2,30,59,28.0,0.36,0.04,19.0,713,419,244,33,713,419,244,33,713,419,244,33,713,419,244,33,81.2,91.5,84.7,37.1,81.2,91.5,84.7,37.1,81.2,91.5,84.7,37.1,81.2,91.5,84.7,37.1,10693,58,2.97,6,0.31,54,21,54,21,29,51,30,23,6,17,20,1119,52,247,569,320,43,41,41.5,36.6,585,3018,6,25,34,21,716,33,23,3,64,107,14,20,41.2,
Yehor Yarmoliuk,ua UKR,Brentford,21-070,28,12,1196.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0,0.6,15,44,22.2,0.15,0.00,15.9,535,266,198,57,535,266,198,57,535,266,198,57,535,266,198,57,85.5,86.4,88.4,83.8,85.5,86.4,88.4,83.8,85.5,86.4,88.4,83.8,85.5,86.4,88.4,83.8,9305,22,1.66,2,0.15,39,23,39,23,24,46,23,24,7,17,10,794,52,219,411,179,15,21,47.6,42.9,410,2190,3,17,24,16,493,13,9,2,16,92,8,7,53.3,
Yoane Wissa,cd COD,Brentford,28-249,32,31,2650.0,18,0.61,18,0.61,3,0.1,3,0.1,2,0,16.5,51,135,46.3,1.26,0.23,13.4,408,252,116,26,408,252,116,26,408,252,116,26,408,252,116,26,76.1,85.1,75.3,57.8,76.1,85.1,75.3,57.8,76.1,85.1,75.3,57.8,76.1,85.1,75.3,57.8,5924,61,2.07,8,0.27,22,11,22,11,12,27,16,29,8,21,8,850,32,130,348,387,147,45,28.9,51.1,497,3104,28,23,70,29,599,28,47,14,20,67,29,34,46.0,
Youri Tielemans,be BEL,Aston Villa,28-003,35,35,2997.0,3,0.09,3,0.09,7,0.21,7,0.21,4,0,3.1,39,48,31.6,0.36,0.08,20.3,1679,779,732,139,1679,779,732,139,1679,779,732,139,1679,779,732,139,82.1,89.7,87.4,54.1,82.1,89.7,87.4,54.1,82.1,89.7,87.4,54.1,82.1,89.7,87.4,54.1,28817,119,3.57,12,0.36,83,40,83,40,57,73,33,37,16,21,22,2361,100,472,1357,557,42,60,51.7,30.0,1275,5522,9,26,30,29,1654,41,56,0,118,145,22,18,55.0,
Yukinari Sugawara,jp JPN,Southampton,24-316,29,15,1467.0,1,0.06,1,0.06,1,0.06,1,0.06,4,0,0.5,32,76,38.5,0.31,0.08,19.2,689,366,272,35,689,366,272,35,689,366,272,35,689,366,272,35,79.9,88.2,82.9,47.9,79.9,88.2,82.9,47.9,79.9,88.2,82.9,47.9,79.9,88.2,82.9,47.9,10831,39,2.39,1,0.06,29,18,29,18,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,2517,7,15,18,4,692,15,9,4,69,40,5,9,35.7,
Yves Bissouma,ml MLI,Tottenham,28-253,25,16,1300.0,2,0.14,2,0.14,0,0.0,0,0.0,7,0,0.6,15,3,36.4,0.28,0.18,23.4,717,394,261,36,717,394,261,36,717,394,261,36,717,394,261,36,89.2,92.7,92.9,63.2,89.2,92.7,92.9,63.2,89.2,92.7,92.9,63.2,89.2,92.7,92.9,63.2,10833,15,1.04,0,0.0,47,18,47,18,29,33,15,9,6,3,16,981,63,282,554,151,5,21,33.3,66.7,577,3433,0,17,25,15,669,23,18,0,2,78,5,7,41.7,
Álex Moreno,es ESP,Nott'ham Forest,31-336,15,11,955.0,0,0.0,0,0.0,1,0.09,1,0.09,2,0,0.2,26,34,0.0,0.0,0.00,23.7,308,184,95,14,308,184,95,14,308,184,95,14,308,184,95,14,72.0,87.6,64.2,35.0,72.0,87.6,64.2,35.0,72.0,87.6,64.2,35.0,72.0,87.6,64.2,35.0,4574,16,1.51,2,0.19,25,15,25,15,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,1470,4,16,13,6,258,12,6,0,19,50,3,11,21.4,
İlkay Gündoğan,de GER,Manchester City,34-198,31,23,2050.0,0,0.0,0,0.0,5,0.22,5,0.22,1,0,2.7,57,86,20.0,0.22,0.00,18.3,1408,803,487,88,1408,803,487,88,1408,803,487,88,1408,803,487,88,89.3,94.4,91.9,62.9,89.3,94.4,91.9,62.9,89.3,94.4,91.9,62.9,89.3,94.4,91.9,62.9,21666,74,3.25,11,0.48,24,10,24,10,13,23,13,14,0,14,13,1748,43,256,848,664,60,35,45.7,37.1,1035,5787,9,52,27,24,1366,15,21,0,57,105,13,11,54.2,
Łukasz Fabiański,pl POL,West Ham,40-022,13,12,1070.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.0,0,0,N/a,0.0,N/a,N/a,304,53,147,104,304,53,147,104,304,53,147,104,304,53,147,104,67.0,100.0,99.3,41.3,67.0,100.0,99.3,41.3,67.0,100.0,99.3,41.3,67.0,100.0,99.3,41.3,8756,3,0.25,0,0.0,0,0,0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,1371,0,0,0,0,227,2,1,0,0,5,2,1,66.7,
