Statistic,Scope,Value
Mean of Goals.3,Chelsea,0.14708333333333332
Std of Goals.3,Chelsea,0.21010306304632798
Median of Goals.3,Crystal Palace,0.0
Mean of Goals.3,Crystal Palace,0.08523809523809524
Std of Goals.3,Crystal Palace,0.1301006936038024
Median of Goals.3,Everton,0.03
Mean of Goals.3,Everton,0.09047619047619049
Std of Goals.3,Everton,0.13313437536850467
Median of Goals.3,Fulham,0.015
Mean of Goals.3,Fulham,0.16850000000000004
Std of Goals.3,Fulham,0.2485383587888873
Median of Goals.3,Ipswich Town,0.0
Mean of Goals.3,Ipswich Town,0.08172413793103449
Std of Goals.3,Ipswich Town,0.14322980948504804
Median of Goals.3,Leicester City,0.0
Mean of Goals.3,Leicester City,0.0508
Std of Goals.3,Leicester City,0.08400992004916245
Median of Goals.3,Liverpool,0.04
Mean of Goals.3,Liverpool,0.16523809523809524
Std of Goals.3,Liverpool,0.23183224641147415
Median of Goals.3,Manchester City,0.06
Mean of Goals.3,Manchester City,0.1784
Std of Goals.3,Manchester City,0.24563998045920782
Median of Goals.3,Manchester Utd,0.0
Mean of Goals.3,Manchester Utd,0.07433333333333335
Std of Goals.3,Manchester Utd,0.11705240009421462
Median of Goals.3,Newcastle Utd,0.0
Mean of Goals.3,Newcastle Utd,0.16086956521739132
Std of Goals.3,Newcastle Utd,0.2581034507796202
Median of Goals.3,Nott'ham Forest,0.07
Mean of Goals.3,Nott'ham Forest,0.12285714285714289
Std of Goals.3,Nott'ham Forest,0.16016063365080876
Median of Goals.3,Southampton,0.0
Mean of Goals.3,Southampton,0.051379310344827595
Std of Goals.3,Southampton,0.07637894894776003
Median of Goals.3,Tottenham,0.06
Mean of Goals.3,Tottenham,0.13481481481481483
Std of Goals.3,Tottenham,0.19355719429767385
Median of Goals.3,West Ham,0.0
Mean of Goals.3,West Ham,0.084
Std of Goals.3,West Ham,0.12529964086141665
Median of Goals.3,Wolves,0.07
Mean of Goals.3,Wolves,0.12217391304347826
Std of Goals.3,Wolves,0.16700453237559781
Median of Assists,all,1.0
Mean of Assists,all,1.5279503105590062
Std of Assists,all,2.2380956036630324
Median of Assists,Arsenal,1.5
Mean of Assists,Arsenal,2.3181818181818183
Std of Assists,Arsenal,2.7496556258204516
Median of Assists,Aston Villa,0.0
Mean of Assists,Aston Villa,1.4814814814814814
Std of Assists,Aston Villa,2.439583356142387
Median of Assists,Bournemouth,1.0
Mean of Assists,Bournemouth,1.6956521739130435
Std of Assists,Bournemouth,2.0545909260769615
Median of Assists,Brentford,2.0
Mean of Assists,Brentford,1.9523809523809523
Std of Assists,Brentford,2.438774087040259
Median of Assists,Brighton,1.0
Mean of Assists,Brighton,1.4230769230769231
Std of Assists,Brighton,1.6290629680421056
Median of Assists,Chelsea,1.0
Mean of Assists,Chelsea,1.8333333333333333
Std of Assists,Chelsea,2.315668119696713
Median of Assists,Crystal Palace,1.0
Mean of Assists,Crystal Palace,1.5238095238095237
Std of Assists,Crystal Palace,2.088517359732679
Median of Assists,Everton,1.0
Mean of Assists,Everton,0.9523809523809523
Std of Assists,Everton,1.1169686869465265
Median of Assists,Fulham,1.0
Mean of Assists,Fulham,2.05
Std of Assists,Fulham,2.6452539426400317
Median of Assists,Ipswich Town,0.0
Mean of Assists,Ipswich Town,0.8620689655172413
Std of Assists,Ipswich Town,1.0929690209645366
Median of Assists,Leicester City,0.0
Mean of Assists,Leicester City,0.88
Std of Assists,Leicester City,1.2013880860626733
Median of Assists,Liverpool,2.0
Mean of Assists,Liverpool,2.857142857142857
Std of Assists,Liverpool,3.99106144134257
Median of Assists,Manchester City,0.0
Mean of Assists,Manchester City,1.92
Std of Assists,Manchester City,2.5645012510557814
Median of Assists,Manchester Utd,0.0
Mean of Assists,Manchester Utd,0.9333333333333333
Std of Assists,Manchester Utd,1.9988502442280596
Median of Assists,Newcastle Utd,1.0
Mean of Assists,Newcastle Utd,2.0869565217391304
Std of Assists,Newcastle Utd,2.843062425021507
Median of Assists,Nott'ham Forest,1.0
Mean of Assists,Nott'ham Forest,1.8095238095238095
Std of Assists,Nott'ham Forest,2.5420276870846155
Median of Assists,Southampton,0.0
Mean of Assists,Southampton,0.5172413793103449
Std of Assists,Southampton,0.8289705171033532
Median of Assists,Tottenham,1.0
Mean of Assists,Tottenham,1.7037037037037037
Std of Assists,Tottenham,2.3828685817859694
Median of Assists,West Ham,1.0
Mean of Assists,West Ham,0.96
Std of Assists,West Ham,1.5132745950421558
Median of Assists,Wolves,1.0
Mean of Assists,Wolves,1.6956521739130435
Std of Assists,Wolves,2.224548628551535
Median of Assists.1,all,0.04
Mean of Assists.1,all,0.08898550724637681
Std of Assists.1,all,0.12231517430071022
Median of Assists.1,Arsenal,0.10500000000000001
Mean of Assists.1,Arsenal,0.1372727272727273
Std of Assists.1,Arsenal,0.14998989864977472
Median of Assists.1,Aston Villa,0.0
Mean of Assists.1,Aston Villa,0.07333333333333332
Std of Assists.1,Aston Villa,0.09675504359741904
Median of Assists.1,Bournemouth,0.04
Mean of Assists.1,Bournemouth,0.10043478260869565
Std of Assists.1,Bournemouth,0.11451392376116482
Median of Assists.1,Brentford,0.09
Mean of Assists.1,Brentford,0.09857142857142859
Std of Assists.1,Brentford,0.10412904082366813
Median of Assists.1,Brighton,0.04
Mean of Assists.1,Brighton,0.09884615384615383
Std of Assists.1,Brighton,0.1338156021718521
Median of Assists.1,Chelsea,0.065
Mean of Assists.1,Chelsea,0.1379166666666667
Std of Assists.1,Chelsea,0.18989652025721035
Median of Assists.1,Crystal Palace,0.03
Mean of Assists.1,Crystal Palace,0.060476190476190475
Std of Assists.1,Crystal Palace,0.07896050851382548
Median of Assists.1,Everton,0.03
Mean of Assists.1,Everton,0.06428571428571428
Std of Assists.1,Everton,0.08623058787758718
Median of Assists.1,Fulham,0.08499999999999999
Mean of Assists.1,Fulham,0.10399999999999998
Std of Assists.1,Fulham,0.1193579314058085
Median of Assists.1,Ipswich Town,0.0
Mean of Assists.1,Ipswich Town,0.07
Std of Assists.1,Ipswich Town,0.10460811222298749
Median of Assists.1,Leicester City,0.0
Mean of Assists.1,Leicester City,0.058800000000000005
Std of Assists.1,Leicester City,0.0867140895894856
Median of Assists.1,Liverpool,0.16
Mean of Assists.1,Liverpool,0.13904761904761903
Std of Assists.1,Liverpool,0.13190544954264635
Median of Assists.1,Manchester City,0.0
Mean of Assists.1,Manchester City,0.10200000000000001
Std of Assists.1,Manchester City,0.1414213562373095
Median of Assists.1,Manchester Utd,0.0
Mean of Assists.1,Manchester Utd,0.044000000000000004
Std of Assists.1,Manchester Utd,0.08528249203837715
Median of Assists.1,Newcastle Utd,0.04
Mean of Assists.1,Newcastle Utd,0.10304347826086957
Std of Assists.1,Newcastle Utd,0.1267938478077593
Median of Assists.1,Nott'ham Forest,0.05
Mean of Assists.1,Nott'ham Forest,0.08380952380952382
Std of Assists.1,Nott'ham Forest,0.10273637089542294
Median of Assists.1,Southampton,0.0
Mean of Assists.1,Southampton,0.04310344827586208
Std of Assists.1,Southampton,0.09721491097694919
Median of Assists.1,Tottenham,0.07
Mean of Assists.1,Tottenham,0.11777777777777777
Std of Assists.1,Tottenham,0.15054601477323323
Median of Assists.1,West Ham,0.03
Mean of Assists.1,West Ham,0.07440000000000001
Std of Assists.1,West Ham,0.13635370670918096
Median of Assists.1,Wolves,0.04
Mean of Assists.1,Wolves,0.10043478260869568
Std of Assists.1,Wolves,0.13026121521666884
Median of Assists.2,all,1.0
Mean of Assists.2,all,1.5279503105590062
Std of Assists.2,all,2.2380956036630324
Median of Assists.2,Arsenal,1.5
Mean of Assists.2,Arsenal,2.3181818181818183
Std of Assists.2,Arsenal,2.7496556258204516
Median of Assists.2,Aston Villa,0.0
Mean of Assists.2,Aston Villa,1.4814814814814814
Std of Assists.2,Aston Villa,2.439583356142387
Median of Assists.2,Bournemouth,1.0
Mean of Assists.2,Bournemouth,1.6956521739130435
Std of Assists.2,Bournemouth,2.0545909260769615
Median of Assists.2,Brentford,2.0
Mean of Assists.2,Brentford,1.9523809523809523
Std of Assists.2,Brentford,2.438774087040259
Median of Assists.2,Brighton,1.0
Mean of Assists.2,Brighton,1.4230769230769231
Std of Assists.2,Brighton,1.6290629680421056
Median of Assists.2,Chelsea,1.0
Mean of Assists.2,Chelsea,1.8333333333333333
Std of Assists.2,Chelsea,2.315668119696713
Median of Assists.2,Crystal Palace,1.0
Mean of Assists.2,Crystal Palace,1.5238095238095237
Std of Assists.2,Crystal Palace,2.088517359732679
Median of Assists.2,Everton,1.0
Mean of Assists.2,Everton,0.9523809523809523
Std of Assists.2,Everton,1.1169686869465265
Median of Assists.2,Fulham,1.0
Mean of Assists.2,Fulham,2.05
Std of Assists.2,Fulham,2.6452539426400317
Median of Assists.2,Ipswich Town,0.0
Mean of Assists.2,Ipswich Town,0.8620689655172413
Std of Assists.2,Ipswich Town,1.0929690209645366
Median of Assists.2,Leicester City,0.0
Mean of Assists.2,Leicester City,0.88
Std of Assists.2,Leicester City,1.2013880860626733
Median of Assists.2,Liverpool,2.0
Mean of Assists.2,Liverpool,2.857142857142857
Std of Assists.2,Liverpool,3.99106144134257
Median of Assists.2,Manchester City,0.0
Mean of Assists.2,Manchester City,1.92
Std of Assists.2,Manchester City,2.5645012510557814
Median of Assists.2,Manchester Utd,0.0
Mean of Assists.2,Manchester Utd,0.9333333333333333
Std of Assists.2,Manchester Utd,1.9988502442280596
Median of Assists.2,Newcastle Utd,1.0
Mean of Assists.2,Newcastle Utd,2.0869565217391304
Std of Assists.2,Newcastle Utd,2.843062425021507
Median of Assists.2,Nott'ham Forest,1.0
Mean of Assists.2,Nott'ham Forest,1.8095238095238095
Std of Assists.2,Nott'ham Forest,2.5420276870846155
Median of Assists.2,Southampton,0.0
Mean of Assists.2,Southampton,0.5172413793103449
Std of Assists.2,Southampton,0.8289705171033532
Median of Assists.2,Tottenham,1.0
Mean of Assists.2,Tottenham,1.7037037037037037
Std of Assists.2,Tottenham,2.3828685817859694
Median of Assists.2,West Ham,1.0
Mean of Assists.2,West Ham,0.96
Std of Assists.2,West Ham,1.5132745950421558
Median of Assists.2,Wolves,1.0
Mean of Assists.2,Wolves,1.6956521739130435
Std of Assists.2,Wolves,2.224548628551535
Median of Assists.3,all,0.04
Mean of Assists.3,all,0.08898550724637681
Std of Assists.3,all,0.12231517430071022
Median of Assists.3,Arsenal,0.10500000000000001
Mean of Assists.3,Arsenal,0.1372727272727273
Std of Assists.3,Arsenal,0.14998989864977472
Median of Assists.3,Aston Villa,0.0
Mean of Assists.3,Aston Villa,0.07333333333333332
Std of Assists.3,Aston Villa,0.09675504359741904
Median of Assists.3,Bournemouth,0.04
Mean of Assists.3,Bournemouth,0.10043478260869565
Std of Assists.3,Bournemouth,0.11451392376116482
Median of Assists.3,Brentford,0.09
Mean of Assists.3,Brentford,0.09857142857142859
